Nom de la demande:farmManagement_1							
Pas de temps:Journalier							
Date de début:01/01/2013							
Date de fin:31/12/2013							
Station(s):31035002							
							
ETP:EVAPOTRANSPIRATION MESUREE (MILLIMETRES)							
RR:HAUTEUR DES PRECIPITATIONS (MILLIMETRES)							
TM:TEMPERATURE MOYENNE (DEGRES CELSIUS)							
PAR:RAYONNEMENT PAR (JOULES/CM2)							
							
NUM_POSTE	AN	MOIS	JOUR	ETP	RR	TM	PAR
31035002	2013	9	28		0.0	21.5	419.0
31035002	2013	9	29		0.5	18.7	506.0
31035002	2013	9	30		0.0	17.8	490.0
31035002	2013	10	1		0.0	20.1	621.0
31035002	2013	10	2		0.0	21.4	576.0
31035002	2013	10	3		3.5	19.9	135.0
31035002	2013	10	4		32.5	18.2	65.0
31035002	2013	10	5		5.5	17.4	610.0
31035002	2013	10	6		0.5	16.0	506.0
31035002	2013	10	7		0.0	15.6	753.0
31035002	2013	10	8		0.0	15.2	634.0
31035002	2013	10	9		0.0	15.9	321.0
31035002	2013	10	10		0.5	13.1	234.0
31035002	2013	10	11		0.0	9.2	548.0
31035002	2013	10	12		0.0	11.9	527.0
31035002	2013	10	13		0.0	13.8	617.0
31035002	2013	10	14		0.0	15.2	607.0
31035002	2013	10	15		2.5	17.3	270.0
31035002	2013	10	16		1.5	18.5	374.0
31035002	2013	10	17		0.0	15.7	531.0
31035002	2013	10	18		0.0	16.4	550.0
31035002	2013	10	19		1.5	19.5	287.0
31035002	2013	10	20		0.0	19.3	510.0
31035002	2013	10	21		0.0	19.8	422.0
31035002	2013	10	22		0.0	19.9	241.0
31035002	2013	10	23		0.0	18.6	579.0
31035002	2013	10	24		0.0	16.3	512.0
31035002	2013	10	25		0.0	20.4	240.0
31035002	2013	10	26		0.0	20.4	281.0
31035002	2013	10	27		0.0	17.9	469.0
31035002	2013	10	28		6.5	17.1	507.0
31035002	2013	10	29		0.0	12.5	375.0
31035002	2013	10	30		0.0	9.6	500.0
31035002	2013	10	31		0.0	7.9	537.0
31035002	2013	11	1		0.5	9.3	303.0
31035002	2013	11	2		7.5	17.1	433.0
31035002	2013	11	3		4.5	13.3	210.0
31035002	2013	11	4		7.0	12.1	176.0
31035002	2013	11	5		11.5	14.7	102.0
31035002	2013	11	6		1.5	15.9	240.0
31035002	2013	11	7		0.5	14.8	444.0
31035002	2013	11	8		1.0	13.3	228.0
31035002	2013	11	9		8.0	11.9	348.0
31035002	2013	11	10		8.5	13.0	92.0
31035002	2013	11	11		0.5	10.4	425.0
31035002	2013	11	12		4.0	11.4	143.0
31035002	2013	11	13		1.0	12.5	113.0
31035002	2013	11	14		2.0	9.2	287.0
31035002	2013	11	15		6.0	5.4	81.0
31035002	2013	11	16		5.5	5.3	86.0
31035002	2013	11	17		4.0	7.1	86.0
31035002	2013	11	18		18.0	7.9	57.0
31035002	2013	11	19		12.0	6.8	125.0
31035002	2013	11	20		6.5	4.9	300.0
31035002	2013	11	21		5.0	6.3	189.0
31035002	2013	11	22		6.0	3.2	67.0
31035002	2013	11	23		1.0	3.8	68.0
31035002	2013	11	24		0.0	5.3	65.0
31035002	2013	11	25		0.0	5.3	183.0
31035002	2013	11	26		0.0	3.0	239.0
31035002	2013	11	27		0.0	0.4	369.0
31035002	2013	11	28		0.0	-0.5	349.0
31035002	2013	11	29		0.5	2.0	330.0
31035002	2013	11	30		3.0	6.0	151.0
31035002	2013	12	1		0.0	2.7	338.0
31035002	2013	12	2		0.0	2.4	215.0
31035002	2013	12	3		0.0	0.8	233.0
31035002	2013	12	4		0.5	2.7	292.0
31035002	2013	12	5		0.0	5.2	101.0
31035002	2013	12	6		0.0	6.4	233.0
31035002	2013	12	7		0.0	2.8	182.0
31035002	2013	12	8		0.0	1.0	279.0
31035002	2013	12	9		0.5	3.6	339.0
31035002	2013	12	10		0.0	4.6	328.0
31035002	2013	12	11		0.0	9.4	334.0
31035002	2013	12	12		0.5	9.2	343.0
31035002	2013	12	13		1.5	7.2	300.0
31035002	2013	12	14		0.0	6.5	152.0
31035002	2013	12	15		0.0	5.4	314.0
31035002	2013	12	16		0.5	11.0	312.0
31035002	2013	12	17		0.0	11.9	265.0
31035002	2013	12	18		1.0	10.6	275.0
31035002	2013	12	19		10.5	9.7	56.0
31035002	2013	12	20		0.0	6.5	322.0
31035002	2013	12	21		0.0	3.9	330.0
31035002	2013	12	22		0.0	7.5	282.0
31035002	2013	12	23		0.5	6.8	305.0
31035002	2013	12	24		2.5	10.7	59.0
31035002	2013	12	25		2.0	9.5	227.0
31035002	2013	12	26		2.5	6.6	196.0
31035002	2013	12	27		0.0	8.7	285.0
31035002	2013	12	28		6.0	8.9	74.0
31035002	2013	12	29		0.0	6.8	236.0
31035002	2013	12	30		0.0	4.1	196.0
31035002	2013	12	31		0.0	7.0	244.0
