Nom de la demande:Toulouse_2010-2013
Pas de temps:Journalier
Date de début:01/01/2010
Date de fin:31/12/2013
Série:31035001

ETPP:EVAPOTRANSPIRATION PENMAN (MILLIMETRES)
RG:RAYONNEMENT GLOBAL (JOULES/CM2)
RR:HAUTEUR DES PRECIPITATIONS (MILLIMETRES)
TM:TEMPERATURE MOYENNE (DEGRES CELSIUS)
TN:TEMPERATURE MINIMALE (DEGRES CELSIUS)
TX:TEMPERATURE MAXIMALE (DEGRES CELSIUS)

NUM_POSTE;AN;MOIS;JOUR;ETPP;RG;RR;TM;TN;TX;
31035002;2010;6;26;5.9;2942;0.0;23.4;13.8;32.4;
31035002;2010;6;27;5.4;2452;0.0;23.8;17.2;31.2;
31035002;2010;6;28;5.8;2572;4.5;24.0;18.5;30.0;
31035002;2010;6;29;4.9;2040;0.0;23.3;19.2;29.4;
31035002;2010;6;30;6.1;2725;0.0;24.6;19.3;30.6;
31035002;2010;7;1;6.7;2946;0.0;26.4;17.2;34.9;
31035002;2010;7;2;6.8;2590;0.0;25.4;19.6;31.6;
31035002;2010;7;3;2.8;973;0.0;22.9;20.7;26.6;
31035002;2010;7;4;5.2;2028;0.0;24.4;21.2;29.4;
31035002;2010;7;5;6.1;2625;0.0;22.5;18.4;26.9;
31035002;2010;7;6;6.4;2860;0.0;22.5;17.9;27.8;
31035002;2010;7;7;6.0;3016;0.0;23.4;13.7;32.5;
31035002;2010;7;8;7.1;2752;0.0;26.3;14.4;35.4;
31035002;2010;7;9;4.1;1174;0.5;24.7;23.4;28.1;
31035002;2010;7;10;5.7;2547;0.0;24.6;19.6;31.3;
31035002;2010;7;11;5.3;2326;0.0;26.4;17.7;34.6;
31035002;2010;7;12;4.2;1699;0.0;24.1;19.9;28.7;
31035002;2010;7;13;5.4;2221;0.0;25.4;19.9;32.0;
31035002;2010;7;14;4.9;1437;0.0;24.2;21.9;30.0;
31035002;2010;7;15;5.6;2563;0.0;22.7;18.9;28.8;
31035002;2010;7;16;6.2;2843;0.0;24.1;14.0;31.3;
31035002;2010;7;17;3.9;1319;0.0;20.7;18.6;23.1;
31035002;2010;7;18;5.8;2964;0.0;21.9;13.5;29.3;
31035002;2010;7;19;6.0;2927;0.0;24.1;12.2;31.8;
31035002;2010;7;20;5.8;2668;3.5;25.0;16.7;32.3;
31035002;2010;7;21;2.1;698;9.0;20.5;17.8;22.4;
31035002;2010;7;22;2.1;855;14.5;17.8;16.3;20.6;
31035002;2010;7;23;4.6;1930;0.0;19.6;16.1;24.8;
31035002;2010;7;24;4.7;2197;0.0;19.6;13.9;24.5;
31035002;2010;7;25;4.5;1812;0.0;19.5;16.1;24.3;
31035002;2010;7;26;4.1;1502;0.0;20.9;17.5;25.7;
31035002;2010;7;27;5.5;2520;0.0;22.7;17.0;29.1;
31035002;2010;7;28;5.6;2706;0.0;24.1;14.8;30.8;
31035002;2010;7;29;4.6;1673;0.0;21.9;19.1;25.6;
31035002;2010;7;30;5.5;2582;0.0;21.2;15.9;26.6;
31035002;2010;7;31;5.5;2730;0.0;24.0;14.2;32.3;
31035002;2010;8;1;1.9;735;13.0;20.4;17.7;22.8;
31035002;2010;8;2;1.1;455;6.0;18.3;16.9;19.7;
